model,l2_val,train_mse,val_mse,train_r2,val_r2
model_0,0.0,0.0007393854903057218,0.004037357866764069,0.9992606043815613,0.9958319664001465
model_0,0.0001,0.00038922514067962766,0.0068034701980650425,0.9996107816696167,0.9929763674736023
model_0,0.001,0.0006565268849954009,0.003170701442286372,0.9993434548377991,0.9967266917228699
model_0,0.01,0.0018484368920326233,0.0020298149902373552,0.9981515407562256,0.9979044795036316
model_0,0.1,0.004649370443075895,0.004374667536467314,0.9953506588935852,0.9954837560653687
model_0,1.0,0.16242700815200806,0.16089488565921783,0.8375729918479919,0.833898663520813
model_0,5.0,1.0,0.9717406630516052,5.960464477539063e-08,-0.0031856298446655273
model_0,10.0,1.0000001192092896,0.9717134833335876,0.0,-0.003157496452331543
model_1,0.0,0.0032469327561557293,0.0035004911478608847,0.9967530369758606,0.9963862299919128
model_1,0.0001,0.0040290337055921555,0.007809403818100691,0.9959709644317627,0.9919378757476807
model_1,0.001,0.003023858182132244,0.0028727033641189337,0.9969761371612549,0.9970343112945557
model_1,0.01,0.00266373623162508,0.003154735779389739,0.9973362684249878,0.9967432022094727
model_1,0.1,0.0076970006339251995,0.00955381989479065,0.9923030138015747,0.9901370406150818
model_1,1.0,0.1945033222436905,0.19264237582683563,0.8054966926574707,0.801123857498169
model_1,5.0,0.9999999403953552,0.9717385768890381,0.0,-0.0031834840774536133
model_1,10.0,1.0,0.9717157483100891,0.0,-0.0031599998474121094
model_2,0.0,0.0015654857270419598,0.0038356881123036146,0.9984345436096191,0.9960401654243469
model_2,0.0001,0.0012797920498996973,0.0037161344662308693,0.9987202286720276,0.9961636066436768
model_2,0.001,0.0011520356638357043,0.003021540818735957,0.9988479614257812,0.9968807101249695
model_2,0.01,0.002601451938971877,0.003010363318026066,0.9973985552787781,0.9968922138214111
model_2,0.1,0.0046635461039841175,0.0041898698545992374,0.9953364729881287,0.9956745505332947
model_2,1.0,0.37901008129119873,0.3782781958580017,0.620989978313446,0.6094809770584106
model_2,5.0,1.0000005960464478,0.9718282222747803,-5.960464477539062e-07,-0.0032759904861450195
model_2,10.0,1.0000001192092896,0.9717088341712952,-1.1920928955078125e-07,-0.003152608871459961
