transformation,C,mse_train,mse_val,r2_train,r2_val
Polynomial (degree=2),0.01,5.721927232169536,8.051108666861365,0.9947500874665507,0.9923740077612047
Polynomial (degree=2),0.1,5.629735897564225,8.919860456686589,0.9948346737297766,0.991551127996345
Polynomial (degree=2),1.0,5.629735897564225,8.919860456686589,0.9948346737297766,0.991551127996345
Polynomial (degree=2),10.0,5.629735897564225,8.919860456686589,0.9948346737297766,0.991551127996345
Polynomial (degree=2),100.0,5.629735897564225,8.919860456686589,0.9948346737297766,0.991551127996345
Polynomial (degree=2),1000.0,5.629735897564225,8.919860456686589,0.9948346737297766,0.991551127996345
PCA (95% variance),0.01,6.963346099556228,6.2474089765840155,0.9936110760449247,0.9940824680998148
PCA (95% variance),0.1,3.96435459719122,3.7382997685574315,0.9963626739658937,0.9964590907661388
PCA (95% variance),1.0,4.060734096670142,3.948164092255398,0.9962742450289724,0.9962603077450739
PCA (95% variance),10.0,4.064845091221637,3.958912974412351,0.996270473159645,0.99625012642778
PCA (95% variance),100.0,4.065424425463921,3.9548271033794604,0.9962699416159926,0.9962539965557431
PCA (95% variance),1000.0,4.07930884665628,3.9987980947331567,0.9962572025520584,0.9962123473304413
RBFSampler (gamma=1),0.01,1018.6501579287753,1392.3497694917064,0.06538059392923923,-0.31883060770703975
RBFSampler (gamma=1),0.1,1034.3582349904666,1522.8084631585173,0.05096831161657289,-0.44240079245456676
RBFSampler (gamma=1),1.0,1036.784152087531,1528.509924626345,0.04874251389908624,-0.44780120408761404
RBFSampler (gamma=1),10.0,1036.528014492559,1528.1686246322938,0.0489775221254356,-0.447477925491655
RBFSampler (gamma=1),100.0,1036.807467300931,1528.7730325601833,0.04872112201029033,-0.44805041933789047
RBFSampler (gamma=1),1000.0,1037.2825928726447,1532.3528324068704,0.04828519061992265,-0.45144119779796044
